seq,event_time,from,to,amount_minor
2637,2026-08-09T21:53:00Z,c128,m038,1251
2638,2026-08-09T21:54:00Z,c178,m027,5014
2639,2026-08-09T21:55:00Z,c077,m023,400000
2640,2026-08-09T21:58:00Z,c178,m027,8597
2641,2026-08-09T22:01:00Z,c118,m036,616
2642,2026-08-09T22:02:00Z,c178,c042,4520
2643,2026-08-09T22:02:00Z,c178,m027,5866
2644,2026-08-09T22:07:00Z,c118,m016,697
2645,2026-08-09T22:09:00Z,c118,m031,4051
2646,2026-08-09T22:09:00Z,c178,c154,5759
2647,2026-08-09T22:17:00Z,c173,m004,120000
2648,2026-08-09T22:30:00Z,c125,m001,7616
2649,2026-08-09T22:35:00Z,c068,c102,7053
2650,2026-08-09T22:37:00Z,c068,c054,6780
2651,2026-08-09T23:16:00Z,c068,m038,13210
2652,2026-08-09T23:30:00Z,c068,c102,4691
2653,2026-08-10T00:16:00Z,c125,m029,5973
2654,2026-08-10T00:46:00Z,c068,c102,11959
2655,2026-08-10T03:40:00Z,c135,m034,16060
2656,2026-08-10T03:54:00Z,c031,c103,2729
2657,2026-08-10T04:35:00Z,c031,c103,10473
2658,2026-08-10T04:41:00Z,c032,m002,1529
2659,2026-08-10T04:51:00Z,c171,m003,7259
2660,2026-08-10T05:26:00Z,c095,m025,1990
2661,2026-08-10T06:14:00Z,c016,m037,5616
2662,2026-08-10T06:15:00Z,c169,c172,29748
2663,2026-08-10T06:41:00Z,c035,c005,1372
2664,2026-08-10T06:50:00Z,c098,m021,1852
2665,2026-08-10T06:52:00Z,c095,c022,2341
2666,2026-08-10T06:55:00Z,c035,c005,2461
2667,2026-08-10T07:08:00Z,c021,m016,27144
2668,2026-08-10T07:09:00Z,c098,m011,1378
2669,2026-08-10T07:09:00Z,c166,c085,995
2670,2026-08-10T07:11:00Z,c032,c083,2012
2671,2026-08-10T07:11:00Z,c151,c017,4085
2672,2026-08-10T07:14:00Z,c098,c172,5471
2673,2026-08-10T07:33:00Z,c057,m009,3054
2674,2026-08-10T07:37:00Z,c103,c176,3206
2675,2026-08-10T07:50:00Z,c035,m004,2395
2676,2026-08-10T07:55:00Z,c115,m037,16977
2677,2026-08-10T07:56:00Z,c100,m017,14231
2678,2026-08-10T07:58:00Z,c045,m021,1755
2679,2026-08-10T07:59:00Z,c098,m015,8112
2680,2026-08-10T08:01:00Z,c171,m015,11267
2681,2026-08-10T08:04:00Z,c031,c103,2310
2682,2026-08-10T08:04:00Z,c063,m022,4272
2683,2026-08-10T08:34:00Z,c053,m013,7623
2684,2026-08-10T08:37:00Z,c103,m025,1295
2685,2026-08-10T08:41:00Z,c032,m011,3436
2686,2026-08-10T08:43:00Z,c008,c147,3219
2687,2026-08-10T08:52:00Z,c005,m029,6009
2688,2026-08-10T08:55:00Z,c063,m032,1896
2689,2026-08-10T08:59:00Z,c119,m013,1147
2690,2026-08-10T09:00:00Z,c103,m025,2597
2691,2026-08-10T09:01:00Z,c021,m018,12027
2692,2026-08-10T09:03:00Z,c139,m034,14573
2693,2026-08-10T09:04:00Z,c101,m031,6507
2694,2026-08-10T09:06:00Z,c137,m015,5360
2695,2026-08-10T09:11:00Z,c135,m025,17088
2696,2026-08-10T09:12:00Z,c103,c176,1056
2697,2026-08-10T09:24:00Z,c045,m001,3184
2698,2026-08-10T09:26:00Z,c063,m022,6184
2699,2026-08-10T09:28:00Z,c065,m010,21002
2700,2026-08-10T09:28:00Z,c079,m032,8722
2701,2026-08-10T09:30:00Z,c035,m037,1719
2702,2026-08-10T09:31:00Z,c169,c086,13833
2703,2026-08-10T09:34:00Z,c093,m030,558
2704,2026-08-10T09:35:00Z,c008,c147,9523
2705,2026-08-10T09:38:00Z,c137,m015,3578
2706,2026-08-10T09:43:00Z,c060,m022,12848
2707,2026-08-10T09:48:00Z,c057,m022,5489
2708,2026-08-10T09:49:00Z,c002,m039,4095
2709,2026-08-10T09:50:00Z,c131,m012,7781
2710,2026-08-10T09:53:00Z,c002,m038,14182
2711,2026-08-10T09:54:00Z,c137,m015,2996
2712,2026-08-10T09:54:00Z,c165,c036,4438
2713,2026-08-10T09:57:00Z,c101,m030,3616
2714,2026-08-10T09:58:00Z,c111,m017,9302
2715,2026-08-10T09:59:00Z,c117,m028,7713
2716,2026-08-10T10:00:00Z,c110,m039,15792
2717,2026-08-10T10:01:00Z,c002,m006,6560
2718,2026-08-10T10:09:00Z,c099,m027,2605
2719,2026-08-10T10:25:00Z,c023,c055,1435
2720,2026-08-10T10:30:00Z,c040,m031,35909
2721,2026-08-10T10:31:00Z,c066,m004,6254
2722,2026-08-10T10:34:00Z,c103,m029,708
2723,2026-08-10T10:35:00Z,c115,m037,9123
2724,2026-08-10T10:40:00Z,c109,m032,910
2725,2026-08-10T10:47:00Z,c027,c002,791
2726,2026-08-10T10:55:00Z,c058,m002,6450
2727,2026-08-10T10:57:00Z,c153,m013,30760
2728,2026-08-10T11:02:00Z,c009,m020,2620
2729,2026-08-10T11:03:00Z,c110,m037,18223
2730,2026-08-10T11:06:00Z,c041,m017,2053
2731,2026-08-10T11:08:00Z,c009,m020,3273
2732,2026-08-10T11:09:00Z,c008,c063,11016
2733,2026-08-10T11:09:00Z,c042,c151,19417
2734,2026-08-10T11:11:00Z,c109,m032,1180
2735,2026-08-10T11:12:00Z,c037,m003,10175
2736,2026-08-10T11:13:00Z,c066,m007,7836
2737,2026-08-10T11:14:00Z,c009,m028,2663
2738,2026-08-10T11:16:00Z,c166,m029,2261
2739,2026-08-10T11:18:00Z,c157,c116,6000
2740,2026-08-10T11:20:00Z,c093,m023,1878
2741,2026-08-10T11:21:00Z,c103,m009,771
2742,2026-08-10T11:25:00Z,c155,m025,2006
2743,2026-08-10T11:28:00Z,c177,c168,2981
2744,2026-08-10T11:33:00Z,c050,c089,4692
2745,2026-08-10T11:36:00Z,c059,m026,9450
2746,2026-08-10T11:36:00Z,c065,m022,21030
2747,2026-08-10T11:37:00Z,c170,m024,1853
2748,2026-08-10T11:39:00Z,c052,m007,10371
2749,2026-08-10T11:40:00Z,c113,m011,984
2750,2026-08-10T11:43:00Z,c092,m022,765
2751,2026-08-10T11:45:00Z,c034,m018,29058
2752,2026-08-10T11:45:00Z,c100,m017,3696
2753,2026-08-10T11:49:00Z,c034,m034,12056
2754,2026-08-10T11:49:00Z,c092,m033,2065
2755,2026-08-10T11:50:00Z,c067,c163,798
2756,2026-08-10T11:50:00Z,c159,c060,1315
2757,2026-08-10T11:51:00Z,c034,c069,10516
2758,2026-08-10T11:51:00Z,c092,m005,1110
2759,2026-08-10T11:54:00Z,c119,c128,2023
2760,2026-08-10T12:07:00Z,c020,c143,4974
2761,2026-08-10T12:08:00Z,c039,m036,2680
2762,2026-08-10T12:13:00Z,c038,m023,4171
2763,2026-08-10T12:15:00Z,c067,m008,937
2764,2026-08-10T12:16:00Z,c004,m027,5697
2765,2026-08-10T12:16:00Z,c089,m011,19365
2766,2026-08-10T12:16:00Z,c133,m024,1407
2767,2026-08-10T12:18:00Z,c174,m038,3326
2768,2026-08-10T12:20:00Z,c001,c133,15788
2769,2026-08-10T12:22:00Z,c079,m021,13137
2770,2026-08-10T12:24:00Z,c061,m014,10710
2771,2026-08-10T12:24:00Z,c127,m037,6905
2772,2026-08-10T12:25:00Z,c001,m016,5893
2773,2026-08-10T12:25:00Z,c071,c011,5247
2774,2026-08-10T12:26:00Z,c001,m033,16692
2775,2026-08-10T12:26:00Z,c053,m001,20756
2776,2026-08-10T12:31:00Z,c127,c061,4016
2777,2026-08-10T12:32:00Z,c001,m016,8793
2778,2026-08-10T12:36:00Z,c061,m017,240000
2779,2026-08-10T12:40:00Z,c004,c166,3132
2780,2026-08-10T12:40:00Z,c168,m034,17992
2781,2026-08-10T12:46:00Z,c113,m010,1049
2782,2026-08-10T12:48:00Z,c000,m036,21802
2783,2026-08-10T12:48:00Z,c159,m035,1357
2784,2026-08-10T12:50:00Z,c170,m029,2195
2785,2026-08-10T12:52:00Z,c000,m027,12601
2786,2026-08-10T12:53:00Z,c000,m036,30965
2787,2026-08-10T12:53:00Z,c157,m014,6713
2788,2026-08-10T13:01:00Z,c066,c173,5731
2789,2026-08-10T13:03:00Z,c000,c018,18527
2790,2026-08-10T13:07:00Z,c066,m038,9453
2791,2026-08-10T13:22:00Z,c037,m006,19154
2792,2026-08-10T13:27:00Z,c030,m021,875
2793,2026-08-10T13:31:00Z,c039,m005,3328
2794,2026-08-10T13:33:00Z,c030,m021,1567
2795,2026-08-10T13:33:00Z,c030,m021,3331
2796,2026-08-10T13:36:00Z,c030,c150,1550
2797,2026-08-10T13:39:00Z,c113,m021,1627
2798,2026-08-10T13:41:00Z,c136,c048,11019
2799,2026-08-10T13:42:00Z,c050,m001,11517
2800,2026-08-10T13:46:00Z,c099,m007,1099
2801,2026-08-10T13:47:00Z,c030,c150,2943
2802,2026-08-10T13:53:00Z,c157,m019,20995
2803,2026-08-10T13:58:00Z,c073,c060,24667
2804,2026-08-10T14:01:00Z,c134,m008,14902
2805,2026-08-10T14:03:00Z,c162,c003,7174
2806,2026-08-10T14:06:00Z,c153,c175,20427
2807,2026-08-10T14:06:00Z,c159,m038,742
2808,2026-08-10T14:13:00Z,c019,m013,17893
2809,2026-08-10T14:13:00Z,c089,m034,13889
2810,2026-08-10T14:20:00Z,c156,c045,35364
2811,2026-08-10T14:23:00Z,c179,m007,2364
2812,2026-08-10T14:25:00Z,c067,m006,1322
2813,2026-08-10T14:31:00Z,c079,m004,26388
2814,2026-08-10T14:40:00Z,c109,m026,681
2815,2026-08-10T14:41:00Z,c064,m029,7165
2816,2026-08-10T14:43:00Z,c091,c069,3744
2817,2026-08-10T14:48:00Z,c146,m012,8852
2818,2026-08-10T14:48:00Z,c162,m038,12296
2819,2026-08-10T15:02:00Z,c146,m008,3902
2820,2026-08-10T15:06:00Z,c113,c144,1969
2821,2026-08-10T15:16:00Z,c108,c095,1426
2822,2026-08-10T15:22:00Z,c106,m011,4311
2823,2026-08-10T15:26:00Z,c148,m008,25365
2824,2026-08-10T15:27:00Z,c014,m007,2633
2825,2026-08-10T15:30:00Z,c064,m039,8554
2826,2026-08-10T15:42:00Z,c134,m034,31727
2827,2026-08-10T15:44:00Z,c108,m026,3510
2828,2026-08-10T15:46:00Z,c130,m025,26225
2829,2026-08-10T15:48:00Z,c023,m026,1055
2830,2026-08-10T15:51:00Z,c150,c166,16447
2831,2026-08-10T15:51:00Z,c150,m000,14685
2832,2026-08-10T15:52:00Z,c074,c010,7597
2833,2026-08-10T15:56:00Z,c176,m019,2490
2834,2026-08-10T15:57:00Z,c067,m004,1075
2835,2026-08-10T16:08:00Z,c123,m003,7337
2836,2026-08-10T16:08:00Z,c130,m001,16381
2837,2026-08-10T16:13:00Z,c003,m032,234
2838,2026-08-10T16:13:00Z,c140,m013,1944
2839,2026-08-10T16:17:00Z,c129,m035,5998
2840,2026-08-10T16:17:00Z,c149,c090,1974
2841,2026-08-10T16:20:00Z,c149,c090,2264
2842,2026-08-10T16:24:00Z,c074,c010,10099
2843,2026-08-10T16:26:00Z,c017,m016,20808
2844,2026-08-10T16:27:00Z,c149,m018,2243
2845,2026-08-10T16:27:00Z,c155,m039,951
2846,2026-08-10T16:37:00Z,c059,m002,10035
2847,2026-08-10T16:38:00Z,c122,m034,5059
2848,2026-08-10T16:42:00Z,c083,c113,2281
2849,2026-08-10T16:43:00Z,c054,c114,4511
2850,2026-08-10T16:48:00Z,c148,m034,14090
2851,2026-08-10T16:56:00Z,c022,m035,2762
2852,2026-08-10T17:02:00Z,c012,m038,4355
2853,2026-08-10T17:03:00Z,c012,c171,3587
2854,2026-08-10T17:04:00Z,c062,m005,13405
2855,2026-08-10T17:04:00Z,c159,c060,1478
2856,2026-08-10T17:04:00Z,c172,m016,3376
2857,2026-08-10T17:11:00Z,c014,m007,2542
2858,2026-08-10T17:11:00Z,c091,c069,4053
2859,2026-08-10T17:13:00Z,c167,m033,12964
2860,2026-08-10T17:16:00Z,c014,c059,2760
2861,2026-08-10T17:18:00Z,c130,m025,8260
2862,2026-08-10T17:19:00Z,c075,c129,19226
2863,2026-08-10T17:23:00Z,c080,m020,3512
2864,2026-08-10T17:25:00Z,c159,m035,1534
2865,2026-08-10T17:27:00Z,c014,m031,3095
2866,2026-08-10T17:34:00Z,c029,c178,2947
2867,2026-08-10T17:35:00Z,c178,m009,4550
2868,2026-08-10T17:36:00Z,c012,c153,3013
2869,2026-08-10T17:42:00Z,c004,m028,3080
2870,2026-08-10T17:42:00Z,c074,c171,6550
2871,2026-08-10T17:46:00Z,c072,m027,9637
2872,2026-08-10T17:46:00Z,c084,m028,18589
2873,2026-08-10T17:46:00Z,c118,m029,3035
2874,2026-08-10T18:09:00Z,c046,m025,3374
2875,2026-08-10T18:11:00Z,c073,m012,6939
2876,2026-08-10T18:12:00Z,c094,m038,22377
2877,2026-08-10T18:18:00Z,c051,m004,10679
2878,2026-08-10T18:18:00Z,c077,m035,12386
2879,2026-08-10T18:20:00Z,c145,c149,2698
2880,2026-08-10T18:25:00Z,c118,m025,1135
2881,2026-08-10T18:26:00Z,c047,c069,6851
2882,2026-08-10T18:31:00Z,c047,c089,3411
2883,2026-08-10T18:35:00Z,c047,m020,7197
2884,2026-08-10T18:38:00Z,c047,c089,3626
2885,2026-08-10T18:38:00Z,c047,m000,3151
2886,2026-08-10T18:42:00Z,c172,m014,1977
2887,2026-08-10T18:44:00Z,c125,m035,2024
2888,2026-08-10T18:48:00Z,c025,m019,6979
2889,2026-08-10T18:52:00Z,c011,m013,1512
2890,2026-08-10T18:52:00Z,c014,m031,2023
2891,2026-08-10T18:54:00Z,c011,m014,50000
2892,2026-08-10T18:54:00Z,c014,m010,3241
2893,2026-08-10T18:55:00Z,c175,c177,1547
2894,2026-08-10T18:56:00Z,c147,c125,31678
2895,2026-08-10T18:58:00Z,c125,m035,4109
2896,2026-08-10T18:58:00Z,c175,c059,3055
2897,2026-08-10T19:00:00Z,c011,m008,1216
2898,2026-08-10T19:01:00Z,c096,m015,15935
2899,2026-08-10T19:03:00Z,c175,m014,305
2900,2026-08-10T19:04:00Z,c011,m038,1214
2901,2026-08-10T19:06:00Z,c147,m031,37883
2902,2026-08-10T19:07:00Z,c175,c059,50000
2903,2026-08-10T19:08:00Z,c010,m023,2877
2904,2026-08-10T19:08:00Z,c011,m013,1570
2905,2026-08-10T19:28:00Z,c150,c166,25236
2906,2026-08-10T19:28:00Z,c167,c094,10183
2907,2026-08-10T19:29:00Z,c010,m023,7506
2908,2026-08-10T19:31:00Z,c172,m014,918
2909,2026-08-10T19:32:00Z,c072,m012,8931
2910,2026-08-10T19:32:00Z,c172,m000,1984
2911,2026-08-10T19:33:00Z,c172,m032,3633
2912,2026-08-10T19:39:00Z,c178,m005,5114
2913,2026-08-10T19:40:00Z,c072,c071,2916
2914,2026-08-10T19:41:00Z,c118,m029,1056
2915,2026-08-10T19:43:00Z,c164,m011,14088
2916,2026-08-10T19:48:00Z,c062,m025,15236
2917,2026-08-10T20:05:00Z,c025,c091,6833
2918,2026-08-10T20:08:00Z,c036,m026,27157
2919,2026-08-10T20:11:00Z,c091,m021,5105
2920,2026-08-10T20:13:00Z,c128,c129,1636
2921,2026-08-10T20:19:00Z,c152,c091,10185
2922,2026-08-10T20:43:00Z,c160,m036,19672
2923,2026-08-10T20:52:00Z,c152,m036,6610
2924,2026-08-10T20:54:00Z,c096,m013,18979
2925,2026-08-10T20:54:00Z,c096,m017,10106
2926,2026-08-10T20:59:00Z,c049,m015,589
2927,2026-08-10T21:09:00Z,c055,m038,2555
2928,2026-08-10T21:19:00Z,c026,m015,5788
2929,2026-08-10T21:28:00Z,c132,m004,14788
2930,2026-08-10T21:29:00Z,c096,m006,17699
2931,2026-08-10T21:50:00Z,c068,c102,6732
2932,2026-08-10T21:54:00Z,c068,m028,16224
2933,2026-08-10T21:58:00Z,c068,m030,25557
2934,2026-08-10T22:21:00Z,c154,m006,5115
2935,2026-08-10T22:27:00Z,c086,c132,8057
2936,2026-08-10T22:27:00Z,c154,c009,10963
2937,2026-08-10T22:27:00Z,c154,m029,4393
2938,2026-08-10T22:31:00Z,c154,c069,8748
2939,2026-08-10T22:39:00Z,c152,m032,8877
2940,2026-08-10T23:26:00Z,c173,c027,6576
2941,2026-08-10T23:43:00Z,c160,m020,9561
2942,2026-08-11T00:13:00Z,c152,m020,21680
2943,2026-08-11T03:32:00Z,c137,m038,2910
2944,2026-08-11T05:27:00Z,c093,m014,2104
2945,2026-08-11T05:36:00Z,c027,m016,3624
2946,2026-08-11T05:41:00Z,c135,c077,11405
2947,2026-08-11T05:44:00Z,c027,m024,1110
2948,2026-08-11T06:25:00Z,c166,m033,2212
2949,2026-08-11T06:31:00Z,c166,m001,1873
2950,2026-08-11T06:31:00Z,c166,m014,1167
2951,2026-08-11T06:46:00Z,c060,m003,16201
2952,2026-08-11T06:51:00Z,c135,m025,19522
2953,2026-08-11T06:54:00Z,c053,m001,16949
2954,2026-08-11T07:11:00Z,c135,m037,18948
2955,2026-08-11T07:15:00Z,c121,m007,14998
2956,2026-08-11T07:17:00Z,c121,m025,11384
2957,2026-08-11T07:19:00Z,c053,m036,29555
2958,2026-08-11T07:19:00Z,c121,m035,8257
2959,2026-08-11T07:25:00Z,c095,m025,1562
2960,2026-08-11T07:27:00Z,c135,m029,17029
2961,2026-08-11T07:28:00Z,c093,m007,2649
2962,2026-08-11T07:46:00Z,c031,m026,2172
2963,2026-08-11T07:46:00Z,c135,c077,16286
2964,2026-08-11T07:48:00Z,c045,m025,4841
2965,2026-08-11T07:48:00Z,c066,c173,6756
2966,2026-08-11T07:51:00Z,c169,c027,8638
2967,2026-08-11T07:52:00Z,c053,m034,28159
2968,2026-08-11T07:56:00Z,c139,m038,15535
2969,2026-08-11T07:58:00Z,c032,m029,1166
2970,2026-08-11T07:59:00Z,c032,m022,1141
2971,2026-08-11T08:07:00Z,c100,m031,4682
2972,2026-08-11T08:08:00Z,c065,m001,23644
2973,2026-08-11T08:11:00Z,c053,m025,18259
2974,2026-08-11T08:11:00Z,c066,c173,5436
2975,2026-08-11T08:12:00Z,c107,m004,3242
2976,2026-08-11T08:24:00Z,c042,m019,25337
2977,2026-08-11T08:27:00Z,c060,m029,14645
2978,2026-08-11T08:34:00Z,c060,m023,9434
2979,2026-08-11T08:35:00Z,c095,m008,6056
2980,2026-08-11T08:35:00Z,c103,m025,1603
2981,2026-08-11T08:36:00Z,c021,m018,6440
2982,2026-08-11T08:43:00Z,c177,m009,5102
2983,2026-08-11T08:46:00Z,c169,m014,15099
2984,2026-08-11T09:00:00Z,c005,c018,11352
2985,2026-08-11T09:04:00Z,c135,m025,16520
2986,2026-08-11T09:07:00Z,c169,m025,26946
2987,2026-08-11T09:11:00Z,c042,m019,22767
2988,2026-08-11T09:22:00Z,c124,c025,9862
2989,2026-08-11T09:23:00Z,c163,m037,1926
2990,2026-08-11T09:26:00Z,c027,m024,2067
2991,2026-08-11T09:33:00Z,c006,m003,9487
2992,2026-08-11T09:36:00Z,c169,m029,19883
2993,2026-08-11T09:39:00Z,c119,m021,979
2994,2026-08-11T09:40:00Z,c131,c100,11388
2995,2026-08-11T09:41:00Z,c057,c084,4765
2996,2026-08-11T09:46:00Z,c057,c016,4976
2997,2026-08-11T09:47:00Z,c050,c005,4011
2998,2026-08-11T09:48:00Z,c076,m030,28634
2999,2026-08-11T09:50:00Z,c169,c172,18290
3000,2026-08-11T09:51:00Z,c027,m016,1504
3001,2026-08-11T09:51:00Z,c177,m019,2070
3002,2026-08-11T09:52:00Z,c127,m005,2138
3003,2026-08-11T09:53:00Z,c057,c084,5685
3004,2026-08-11T09:54:00Z,c021,m015,10284
3005,2026-08-11T10:03:00Z,c159,m005,2245
3006,2026-08-11T10:03:00Z,c169,m009,17448
3007,2026-08-11T10:06:00Z,c019,m013,16551
3008,2026-08-11T10:06:00Z,c171,m015,14699
3009,2026-08-11T10:10:00Z,c078,m001,4419
3010,2026-08-11T10:15:00Z,c066,c158,120000
3011,2026-08-11T10:15:00Z,c078,c021,1751
3012,2026-08-11T10:18:00Z,c099,c011,3952
3013,2026-08-11T10:19:00Z,c078,m031,2963
3014,2026-08-11T10:22:00Z,c078,m011,3149
3015,2026-08-11T10:25:00Z,c170,c053,870
3016,2026-08-11T10:30:00Z,c050,c089,5149
3017,2026-08-11T10:32:00Z,c005,m018,1814
3018,2026-08-11T10:37:00Z,c053,m036,11179
3019,2026-08-11T10:40:00Z,c126,c086,4959
3020,2026-08-11T10:44:00Z,c030,c038,3622
3021,2026-08-11T10:48:00Z,c050,m030,3547
3022,2026-08-11T10:56:00Z,c117,m009,5257
3023,2026-08-11T11:03:00Z,c050,m031,2979
3024,2026-08-11T11:06:00Z,c143,c121,3600
3025,2026-08-11T11:08:00Z,c124,m003,14447
3026,2026-08-11T11:10:00Z,c143,c083,2910
3027,2026-08-11T11:12:00Z,c099,m027,1251
3028,2026-08-11T11:12:00Z,c143,m017,2689
3029,2026-08-11T11:12:00Z,c159,m005,1138
3030,2026-08-11T11:17:00Z,c002,m039,4683
3031,2026-08-11T11:19:00Z,c038,m036,2193
3032,2026-08-11T11:21:00Z,c037,m017,400000
3033,2026-08-11T11:25:00Z,c170,c053,1109
3034,2026-08-11T11:26:00Z,c101,m037,4159
3035,2026-08-11T11:27:00Z,c153,m009,400000
3036,2026-08-11T11:27:00Z,c177,m020,3009
3037,2026-08-11T11:29:00Z,c139,m032,23365
3038,2026-08-11T11:30:00Z,c139,m028,46903
3039,2026-08-11T11:35:00Z,c021,c012,12743
3040,2026-08-11T11:43:00Z,c030,m020,1406
3041,2026-08-11T11:47:00Z,c101,m010,8454
3042,2026-08-11T11:48:00Z,c006,m025,14192
3043,2026-08-11T11:49:00Z,c061,m028,32225
3044,2026-08-11T12:02:00Z,c041,m029,60000
3045,2026-08-11T12:04:00Z,c002,m039,7311
3046,2026-08-11T12:04:00Z,c079,m018,240000
3047,2026-08-11T12:06:00Z,c021,m023,6002
3048,2026-08-11T12:08:00Z,c177,m020,1282
3049,2026-08-11T12:21:00Z,c045,c018,2907
3050,2026-08-11T12:22:00Z,c127,m000,4483
3051,2026-08-11T12:24:00Z,c066,m004,11632
3052,2026-08-11T12:26:00Z,c035,m011,953
3053,2026-08-11T12:27:00Z,c108,m035,4645
3054,2026-08-11T12:28:00Z,c134,m033,16022
3055,2026-08-11T12:30:00Z,c133,c121,2496
3056,2026-08-11T12:33:00Z,c079,c030,14330
3057,2026-08-11T12:33:00Z,c133,m006,5330
3058,2026-08-11T12:36:00Z,c061,m026,14777
3059,2026-08-11T12:36:00Z,c103,m029,1464
3060,2026-08-11T12:36:00Z,c133,c121,1162
3061,2026-08-11T12:40:00Z,c114,c154,31874
3062,2026-08-11T12:40:00Z,c133,m024,1189
3063,2026-08-11T12:40:00Z,c140,m037,3153
3064,2026-08-11T12:41:00Z,c153,m025,17640
3065,2026-08-11T12:44:00Z,c069,m005,2758
3066,2026-08-11T12:44:00Z,c079,m018,25334
3067,2026-08-11T12:45:00Z,c000,m036,19807
3068,2026-08-11T12:45:00Z,c099,m011,1508
3069,2026-08-11T12:54:00Z,c110,m028,9719
3070,2026-08-11T12:54:00Z,c130,c095,28728
3071,2026-08-11T12:55:00Z,c043,m035,16931
3072,2026-08-11T12:57:00Z,c008,m018,5052
3073,2026-08-11T12:59:00Z,c090,c129,30842
3074,2026-08-11T13:03:00Z,c028,c007,1452
3075,2026-08-11T13:06:00Z,c066,m038,4184
3076,2026-08-11T13:10:00Z,c035,m004,364
3077,2026-08-11T13:14:00Z,c140,c157,3917
3078,2026-08-11T13:21:00Z,c146,m039,9677
3079,2026-08-11T13:24:00Z,c043,m011,5708
3080,2026-08-11T13:26:00Z,c058,m002,3710
3081,2026-08-11T13:27:00Z,c108,m026,60000
3082,2026-08-11T13:29:00Z,c116,c020,4248
3083,2026-08-11T13:34:00Z,c021,m018,16451
3084,2026-08-11T13:35:00Z,c084,c025,10325
3085,2026-08-11T13:36:00Z,c020,m030,5445
3086,2026-08-11T13:38:00Z,c080,m034,1597
3087,2026-08-11T13:38:00Z,c103,c176,641
3088,2026-08-11T13:45:00Z,c099,m023,3541
3089,2026-08-11T13:50:00Z,c041,m000,5529
3090,2026-08-11T13:52:00Z,c037,m006,7885
3091,2026-08-11T13:56:00Z,c119,m003,1549
3092,2026-08-11T13:57:00Z,c022,m031,1040
3093,2026-08-11T14:00:00Z,c136,m035,10212
3094,2026-08-11T14:05:00Z,c090,m020,14988
3095,2026-08-11T14:08:00Z,c023,m026,1287
3096,2026-08-11T14:08:00Z,c134,m018,12372
3097,2026-08-11T14:09:00Z,c120,m009,10842
3098,2026-08-11T14:11:00Z,c074,c010,6094
3099,2026-08-11T14:13:00Z,c061,c055,11788
3100,2026-08-11T14:13:00Z,c162,m038,7757
3101,2026-08-11T14:15:00Z,c079,m006,19000
3102,2026-08-11T14:17:00Z,c034,m023,5025
3103,2026-08-11T14:21:00Z,c034,c166,20612
3104,2026-08-11T14:25:00Z,c022,c066,813
3105,2026-08-11T14:26:00Z,c119,m021,1395
3106,2026-08-11T14:28:00Z,c012,m012,798
3107,2026-08-11T14:29:00Z,c034,c112,18297
3108,2026-08-11T14:29:00Z,c034,m018,14254
3109,2026-08-11T14:30:00Z,c073,m012,13767
3110,2026-08-11T14:33:00Z,c158,m033,2467
3111,2026-08-11T14:34:00Z,c134,m008,20132
3112,2026-08-11T14:35:00Z,c158,m023,1615
3113,2026-08-11T14:42:00Z,c009,m020,2676
3114,2026-08-11T14:43:00Z,c158,m025,2455
3115,2026-08-11T14:46:00Z,c150,c166,15768
3116,2026-08-11T14:47:00Z,c116,m036,2209
3117,2026-08-11T14:47:00Z,c127,m015,9415
3118,2026-08-11T14:48:00Z,c035,m037,1574
3119,2026-08-11T14:48:00Z,c050,m023,10594
3120,2026-08-11T14:51:00Z,c150,c166,4266
3121,2026-08-11T14:54:00Z,c168,c091,23446
3122,2026-08-11T14:57:00Z,c037,c061,18167
3123,2026-08-11T14:58:00Z,c150,m032,16176
3124,2026-08-11T15:00:00Z,c130,c095,21378
3125,2026-08-11T15:00:00Z,c140,m013,3740
3126,2026-08-11T15:04:00Z,c061,m024,15691
3127,2026-08-11T15:07:00Z,c007,m010,26733
3128,2026-08-11T15:11:00Z,c125,m017,11263
3129,2026-08-11T15:13:00Z,c006,c055,17956
3130,2026-08-11T15:14:00Z,c119,m021,1948
3131,2026-08-11T15:14:00Z,c125,c157,4227
3132,2026-08-11T15:19:00Z,c036,m012,28518
3133,2026-08-11T15:20:00Z,c052,m005,5027
3134,2026-08-11T15:24:00Z,c047,c069,4020
3135,2026-08-11T15:32:00Z,c075,m001,5083
3136,2026-08-11T15:33:00Z,c029,m005,2995
3137,2026-08-11T15:33:00Z,c136,m035,23357
3138,2026-08-11T15:38:00Z,c165,m008,7692
3139,2026-08-11T15:39:00Z,c130,m001,23138
3140,2026-08-11T15:46:00Z,c029,m007,5428
3141,2026-08-11T15:47:00Z,c125,m013,4832
3142,2026-08-11T15:47:00Z,c134,m034,21272
3143,2026-08-11T15:48:00Z,c125,m034,7622
3144,2026-08-11T15:48:00Z,c136,m026,5655
3145,2026-08-11T15:51:00Z,c028,m029,1126
3146,2026-08-11T15:56:00Z,c067,c163,1176
3147,2026-08-11T15:57:00Z,c017,m000,30930
3148,2026-08-11T15:57:00Z,c070,m021,8604
3149,2026-08-11T16:02:00Z,c172,m038,1446
3150,2026-08-11T16:03:00Z,c153,m013,16468
3151,2026-08-11T16:05:00Z,c118,m015,1712
3152,2026-08-11T16:09:00Z,c033,c084,1807
3153,2026-08-11T16:10:00Z,c114,m032,15976
3154,2026-08-11T16:12:00Z,c035,m029,1485
